Pokemon_Name,Pokedex_Number,HP_Base_Stat,Attack_Base_Stat,Defense_Base_Stat,Speed_Base_Stat,Special_Attack_Base_Stat,Special_Defense_Base_Stat,Type1,Type2,Catch_Rate,Base_Exp,4_Percent_Item,1_Percent_Item,Gender_Ratio,Step_Cycles_To_Hatch_Egg,Growth_Rate,Egg_Group1,Egg_Group2,TM_HM_Moves
BAYLEEF ,153,60,62,80,60,63,80,GRASS, GRASS ,45,141,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,20 ,GROWTH_MEDIUM_SLOW,EGG_MONSTER,EGG_MONSTER,"HEADBUTT, BODY_SLAM,  CURSE, TOXIC, ROCK_SMASH, HIDDEN_POWER, SUNNY_DAY, PROTECT, GIGA_DRAIN, SOLARBEAM, IRON_TAIL, RETURN, MUD_SLAP, SWAGGER, REST, SLEEP_TALK, ATTRACT, FURY_CUTTER, CUT, STRENGTH, FLASH"
BEEDRILL ,015,75,90,50,90,55,80,BUG, POISON ,45,159,NO_ITEM, POISON_BARB ,GENDER_F50 ,15 ,GROWTH_MEDIUM_FAST,EGG_BUG,EGG_BUG,"CURSE, SWORDS_DANCE, DOUBLE_EDGE, SUBSTITUTE, TOXIC, HIDDEN_POWER, SUNNY_DAY, HYPER_BEAM, PROTECT, GIGA_DRAIN, RETURN, SWAGGER, SLUDGE_BOMB, REST, SLEEP_TALK, ATTRACT, FURY_CUTTER, CUT"
BELLOSSOM ,182,80,80,85,50,95,100,GRASS, GRASS ,45,184,NO_ITEM, NO_ITEM ,GENDER_F50 ,20 ,GROWTH_MEDIUM_SLOW,EGG_PLANT,EGG_PLANT,"CURSE, DOUBLE_EDGE, SWORDS_DANCE, SUBSTITUTE, TOXIC, HIDDEN_POWER, SUNNY_DAY, HYPER_BEAM, PROTECT, GIGA_DRAIN, SOLARBEAM, RETURN, SWAGGER, REST, SLEEP_TALK, ATTRACT, CUT, FLASH"
BELLSPROUT ,069,50,75,35,40,70,30,GRASS, POISON ,255,84,NO_ITEM, NO_ITEM ,GENDER_F50 ,20 ,GROWTH_MEDIUM_SLOW,EGG_PLANT,EGG_PLANT,"CURSE, TOXIC, HIDDEN_POWER, SUNNY_DAY, PROTECT, GIGA_DRAIN, SOLARBEAM, RETURN, SWAGGER, SLUDGE_BOMB, REST, SLEEP_TALK, ATTRACT, CUT, FLASH"
BLASTOISE ,009,79,83,100,78,85,105,WATER, STEEL ,45,210,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,20 ,GROWTH_MEDIUM_SLOW,EGG_MONSTER,EGG_MONSTER,"DYNAMICPUNCH, SUBMISSION, BUBBLEBEAM, DOUBLE_EDGE, BODY_SLAM, SUBSTITUTE, HEADBUTT, CURSE, ROAR, TOXIC, ROCK_SMASH, HIDDEN_POWER, BLIZZARD, HYPER_BEAM, ICY_WIND, PROTECT, RAIN_DANCE, IRON_TAIL, EARTHQUAKE, RETURN, DIG, MUD_SLAP, ICE_PUNCH, SWAGGER, REST, SLEEP_TALK, ATTRACT, SURF, STRENGTH, WHIRLPOOL, WATERFALL, ICE_BEAM, BRICK_BREAK"
BLISSEY ,242,255,10,10,55,75,135,NORMAL, NORMAL ,30,255,NO_ITEM, LUCKY_EGG ,GENDER_F100 ,40 ,GROWTH_FAST,EGG_FAIRY,EGG_FAIRY,"DYNAMICPUNCH, TRI_ATTACK, SANDSTORM, DOUBLE_EDGE, BODY_SLAM, SUBSTITUTE, THUNDER_WAVE, HEADBUTT, CURSE, TOXIC, ZAP_CANNON, ROCK_SMASH, HIDDEN_POWER, SUNNY_DAY, BLIZZARD, HYPER_BEAM, ICY_WIND, PROTECT, RAIN_DANCE, SOLARBEAM, THUNDER, RETURN, PSYCHIC_M, SHADOW_BALL, MUD_SLAP, SWAGGER, FIRE_BLAST, DREAM_EATER, REST, SLEEP_TALK, ATTRACT, STRENGTH, FLASH, FLAMETHROWER, THUNDERBOLT, ICE_BEAM, FOCUS_BLAST, BRICK_BREAK"
BULBASAUR ,001,45,49,49,45,65,65,GRASS, POISON ,45,64,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,20 ,GROWTH_MEDIUM_SLOW,EGG_MONSTER,EGG_MONSTER,"HEADBUTT, CURSE, TOXIC, HIDDEN_POWER, SUNNY_DAY, PROTECT, GIGA_DRAIN, SOLARBEAM, RETURN, MUD_SLAP, SWAGGER, REST, SLEEP_TALK, ATTRACT, FURY_CUTTER, CUT, FLASH"
BUTTERFREE ,012,80,52,62,70,85,91,BUG, FLYING ,45,160,NO_ITEM, SILVERPOWDER ,GENDER_F50 ,15 ,GROWTH_MEDIUM_FAST,EGG_BUG,EGG_BUG,"CURSE, DOUBLE_EDGE, SUBSTITUTE, TOXIC, HIDDEN_POWER, SUNNY_DAY, HYPER_BEAM, PROTECT, GIGA_DRAIN, SOLARBEAM, RETURN, PSYCHIC_M, SWAGGER, REST, SLEEP_TALK, ATTRACT, NIGHTMARE, FLASH"
CATERPIE ,010,45,30,35,45,20,20,BUG, BUG ,255,53,NO_ITEM, NO_ITEM ,GENDER_F50 ,15 ,GROWTH_MEDIUM_FAST,EGG_BUG,EGG_BUG,tmhm
CELEBI ,251,100,100,100,100,100,100,PSYCHIC, GRASS ,45,64,NO_ITEM, MIRACLEBERRY ,GENDER_UNKNOWN ,120 ,GROWTH_MEDIUM_SLOW,EGG_NONE,EGG_NONE,"CURSE, TRI_ATTACK, SANDSTORM, DOUBLE_EDGE, THUNDER_WAVE, SUBSTITUTE, TOXIC, PSYCH_UP, HIDDEN_POWER, SUNNY_DAY, HYPER_BEAM, PROTECT, RAIN_DANCE, GIGA_DRAIN, SOLARBEAM, RETURN, PSYCHIC_M, SHADOW_BALL, MUD_SLAP, SWAGGER, DREAM_EATER, REST, SLEEP_TALK, NIGHTMARE, FLASH"
CHANSEY ,113,250,05,05,50,35,105,NORMAL, NORMAL ,30,255,NO_ITEM, LUCKY_EGG ,GENDER_F100 ,40 ,GROWTH_FAST,EGG_FAIRY,EGG_FAIRY,"DYNAMICPUNCH, SANDSTORM, HEADBUTT, CURSE, TOXIC, ZAP_CANNON, ROCK_SMASH, PSYCH_UP, HIDDEN_POWER, SUNNY_DAY, BLIZZARD, HYPER_BEAM, ICY_WIND, PROTECT, RAIN_DANCE, SOLARBEAM, IRON_TAIL, THUNDER, RETURN, PSYCHIC_M, SHADOW_BALL, MUD_SLAP, SWAGGER, FIRE_BLAST, DREAM_EATER, REST, SLEEP_TALK, ATTRACT, STRENGTH, FLASH, FLAMETHROWER, THUNDERBOLT, ICE_BEAM"
CHARIZARD ,006,78,84,78,100,109,85,FIRE, DRAGON ,45,209,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,20 ,GROWTH_MEDIUM_SLOW,EGG_MONSTER,EGG_MONSTER,"DYNAMICPUNCH, ROCK_SLIDE, SWORDS_DANCE, SUBMISSION, DOUBLE_EDGE, BODY_SLAM, SUBSTITUTE, DRAGON_RAGE, HEADBUTT, CURSE, ROAR, TOXIC, ROCK_SMASH, HIDDEN_POWER, SUNNY_DAY, HYPER_BEAM, PROTECT, IRON_TAIL, DRAGONBREATH, EARTHQUAKE, RETURN, DIG, MUD_SLAP, SWAGGER, FIRE_BLAST, REST, SLEEP_TALK, ATTRACT, STEEL_WING, FIRE_PUNCH, FURY_CUTTER, CUT, FLY, STRENGTH, FLAMETHROWER, FOCUS_BLAST, BRICK_BREAK"
CHARMANDER ,004,39,52,43,65,60,50,FIRE, FIRE ,45,65,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,20 ,GROWTH_MEDIUM_SLOW,EGG_MONSTER,EGG_MONSTER,"DYNAMICPUNCH, HEADBUTT, CURSE, TOXIC, ROCK_SMASH, HIDDEN_POWER, SUNNY_DAY, PROTECT, IRON_TAIL, DRAGONBREATH, RETURN, DIG, MUD_SLAP, SWAGGER, FIRE_BLAST, REST, SLEEP_TALK, ATTRACT, FIRE_PUNCH, CUT, STRENGTH, FLAMETHROWER, FURY_CUTTER"
CHARMELEON ,005,58,64,58,80,80,65,FIRE, FIRE ,45,142,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,20 ,GROWTH_MEDIUM_SLOW,EGG_MONSTER,EGG_MONSTER,"DYNAMICPUNCH, ROCK_SLIDE, SWORDS_DANCE, SUBMISSION, DOUBLE_EDGE, BODY_SLAM, SUBSTITUTE, DRAGON_RAGE, HEADBUTT, CURSE, TOXIC, ROCK_SMASH, HIDDEN_POWER, SUNNY_DAY, PROTECT, IRON_TAIL, DRAGONBREATH, RETURN, DIG, MUD_SLAP, SWAGGER, FIRE_BLAST, REST, SLEEP_TALK, ATTRACT, FIRE_PUNCH, FURY_CUTTER, BRICK_BREAK, CUT, STRENGTH, FLAMETHROWER"
CHIKORITA ,152,45,49,65,45,49,65,GRASS, GRASS ,45,64,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,20 ,GROWTH_MEDIUM_SLOW,EGG_MONSTER,EGG_MONSTER,"HEADBUTT, CURSE, TOXIC, HIDDEN_POWER, SUNNY_DAY, PROTECT, GIGA_DRAIN, SOLARBEAM, IRON_TAIL, RETURN, MUD_SLAP, SWAGGER, REST, SLEEP_TALK, ATTRACT, CUT, FLASH"
CHINCHOU ,170,75,38,38,67,56,56,WATER, ELECTRIC ,190,90,NO_ITEM, NO_ITEM ,GENDER_F50 ,20 ,GROWTH_SLOW,EGG_WATER_2,EGG_WATER_2,"CURSE, TOXIC, BUBBLEBEAM, ZAP_CANNON, HIDDEN_POWER, PROTECT, RAIN_DANCE, THUNDER, RETURN, SWAGGER, REST, SLEEP_TALK, ATTRACT, SURF, FLASH, WHIRLPOOL, WATERFALL, THUNDERBOLT, ICE_BEAM"
CLEFABLE ,036,95,70,78,60,88,90,NORMAL, NORMAL ,25,129,MYSTERYBERRY, MOON_STONE ,GENDER_F75 ,10 ,GROWTH_FAST,EGG_FAIRY,EGG_FAIRY,"DYNAMICPUNCH, TRI_ATTACK, SUBMISSION, BUBBLEBEAM, DOUBLE_EDGE, BODY_SLAM, THUNDER_WAVE, SUBSTITUTE, HEADBUTT, CURSE, TOXIC, ZAP_CANNON, PSYCH_UP, HIDDEN_POWER, SUNNY_DAY, BLIZZARD, HYPER_BEAM, PROTECT, RAIN_DANCE, SOLARBEAM, IRON_TAIL, THUNDER, RETURN, PSYCHIC_M, SHADOW_BALL, MUD_SLAP, ICE_PUNCH, SWAGGER, FIRE_BLAST, THUNDERPUNCH, DREAM_EATER, REST, SLEEP_TALK, ATTRACT, FIRE_PUNCH, NIGHTMARE, STRENGTH, FLASH, FLAMETHROWER, THUNDERBOLT, ICE_BEAM"
CLEFAIRY ,035,70,45,48,35,60,65,NORMAL, NORMAL ,150,68,MYSTERYBERRY, MOON_STONE ,GENDER_F75 ,10 ,GROWTH_FAST,EGG_FAIRY,EGG_FAIRY,"DYNAMICPUNCH, BUBBLEBEAM, HEADBUTT, CURSE, TOXIC, ZAP_CANNON, PSYCH_UP, HIDDEN_POWER, SUNNY_DAY, BLIZZARD, PROTECT, RAIN_DANCE, SOLARBEAM, IRON_TAIL, THUNDER, RETURN, PSYCHIC_M, SHADOW_BALL, MUD_SLAP, ICE_PUNCH, SWAGGER, FIRE_BLAST, THUNDERPUNCH, DREAM_EATER, REST, SLEEP_TALK, ATTRACT, FIRE_PUNCH, NIGHTMARE, STRENGTH, FLASH, FLAMETHROWER, THUNDERBOLT, ICE_BEAM"
CLEFFA ,173,50,25,28,15,45,55,NORMAL, NORMAL ,150,37,MYSTERYBERRY, MOON_STONE ,GENDER_F75 ,10 ,GROWTH_FAST,EGG_NONE,EGG_NONE,"HEADBUTT, CURSE, TOXIC, ZAP_CANNON, PSYCH_UP, HIDDEN_POWER, SUNNY_DAY, ICY_WIND, PROTECT, RAIN_DANCE, SOLARBEAM, IRON_TAIL, RETURN, PSYCHIC_M, SHADOW_BALL, MUD_SLAP, SWAGGER, FIRE_BLAST, DREAM_EATER, REST, SLEEP_TALK, ATTRACT, NIGHTMARE, FLASH, FLAMETHROWER"
CLOYSTER ,091,55,95,180,70,85,55,WATER, ICE ,60,203,PEARL, BIG_PEARL ,GENDER_F50 ,20 ,GROWTH_SLOW,EGG_WATER_3,EGG_WATER_3,"CURSE, SUBSTITUTE, BUBBLEBEAM, DOUBLE_EDGE, EXPLOSION, TOXIC, HIDDEN_POWER, BLIZZARD, HYPER_BEAM, ICY_WIND, PROTECT, RAIN_DANCE, RETURN, SWAGGER, REST, SLEEP_TALK, ATTRACT, POWER_GEM, SURF, WHIRLPOOL, ICE_BEAM"
CORSOLA ,222,60,65,85,35,75,85,WATER, ROCK ,60,113,NO_ITEM, NO_ITEM ,GENDER_F75 ,20 ,GROWTH_FAST,EGG_WATER_1,EGG_WATER_1,"HEADBUTT, ROCK_SLIDE, SANDSTORM, BUBBLEBEAM, SUBSTITUTE, CURSE, TOXIC, ROCK_SMASH, HIDDEN_POWER, SUNNY_DAY, PROTECT, RAIN_DANCE, EARTHQUAKE, RETURN, PSYCHIC_M, MUD_SLAP, SWAGGER, REST, SLEEP_TALK, ATTRACT, SURF, STRENGTH, WHIRLPOOL, ICE_BEAM, POWER_GEM, EARTH_POWER"
CROBAT ,169,85,90,82,130,75,82,POISON, FLYING ,90,204,NO_ITEM, NO_ITEM ,GENDER_F50 ,15 ,GROWTH_MEDIUM_FAST,EGG_FLYING,EGG_FLYING,"CURSE, DOUBLE_EDGE, SUBSTITUTE, TOXIC, HIDDEN_POWER, SLUDGE_BOMB, SUNNY_DAY, HYPER_BEAM, PROTECT, GIGA_DRAIN, RETURN, SWAGGER, REST, SLEEP_TALK, ATTRACT, THIEF, STEEL_WING, FLY"
CROCONAW ,159,65,80,80,58,59,63,WATER, WATER ,45,143,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,20 ,GROWTH_MEDIUM_SLOW,EGG_MONSTER,EGG_MONSTER,"DYNAMICPUNCH, BUBBLEBEAM, HEADBUTT, CURSE, ROAR, TOXIC, ROCK_SMASH, HIDDEN_POWER, BLIZZARD, ICY_WIND, PROTECT, RAIN_DANCE, IRON_TAIL, RETURN, DIG, MUD_SLAP, ICE_PUNCH, SWAGGER, REST, SLEEP_TALK, ATTRACT, BRICK_BREAK, CUT, SURF, STRENGTH, WHIRLPOOL, ICE_BEAM, BRICK_BREAK"
CUBONE ,104,50,50,95,35,40,50,GROUND, GROUND ,190,87,NO_ITEM, THICK_CLUB ,GENDER_F50 ,20 ,GROWTH_MEDIUM_FAST,EGG_MONSTER,EGG_MONSTER,"DYNAMICPUNCH, HEADBUTT, SANDSTORM, CURSE, TOXIC, ROCK_SMASH, HIDDEN_POWER, SUNNY_DAY, BLIZZARD, ICY_WIND, PROTECT, IRON_TAIL, EARTHQUAKE, RETURN, DIG, MUD_SLAP, SWAGGER, FIRE_BLAST, THUNDERPUNCH, REST, SLEEP_TALK, ATTRACT, THIEF, FIRE_PUNCH, STRENGTH, FLAMETHROWER, ICE_BEAM, EARTH_POWER, BRICK_BREAK"
CYNDAQUIL ,155,39,52,43,65,60,50,FIRE, FIRE ,45,65,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,20 ,GROWTH_MEDIUM_SLOW,EGG_GROUND,EGG_GROUND,"HEADBUTT, CURSE, TOXIC, HIDDEN_POWER, SUNNY_DAY, PROTECT, IRON_TAIL, RETURN, DIG, MUD_SLAP, SWAGGER, FIRE_BLAST, REST, SLEEP_TALK, ATTRACT, CUT, FLAMETHROWER"
DELIBIRD ,225,100,65,50,75,65,50,ICE, FLYING ,45,183,NO_ITEM, NO_ITEM ,GENDER_F50 ,20 ,GROWTH_FAST,EGG_WATER_1,EGG_WATER_1,"HEADBUTT, CURSE, TOXIC, HIDDEN_POWER, BLIZZARD, ICY_WIND, PROTECT, RAIN_DANCE, RETURN, MUD_SLAP, SWAGGER, REST, SLEEP_TALK, ATTRACT, THIEF, FLY, ICE_BEAM"
DEWGONG ,087,90,78,80,70,78,95,WATER, ICE ,75,176,NO_ITEM, NO_ITEM ,GENDER_F50 ,20 ,GROWTH_MEDIUM_FAST,EGG_WATER_1,EGG_WATER_1,"HEADBUTT, BUBBLEBEAM, DOUBLE_EDGE, BODY_SLAM, SUBSTITUTE, CURSE, TOXIC, HIDDEN_POWER, BLIZZARD, HYPER_BEAM, ICY_WIND, PROTECT, RAIN_DANCE, RETURN, SWAGGER, REST, SLEEP_TALK, ATTRACT, SURF, WHIRLPOOL, WATERFALL, ICE_BEAM"
DIGLETT ,050,10,55,25,95,35,45,GROUND, GROUND ,255,81,NO_ITEM, NO_ITEM ,GENDER_F50 ,20 ,GROWTH_MEDIUM_FAST,EGG_GROUND,EGG_GROUND,"CURSE, TOXIC, ROCK_SMASH, HIDDEN_POWER, SUNNY_DAY, PROTECT, EARTHQUAKE, RETURN, DIG, MUD_SLAP, SWAGGER, SLUDGE_BOMB, REST, SLEEP_TALK, ATTRACT, THIEF, CUT, EARTH_POWER"
DITTO ,132,78,48,48,48,48,48,NORMAL, NORMAL ,35,61,NO_ITEM, NO_ITEM ,GENDER_UNKNOWN ,20 ,GROWTH_MEDIUM_FAST,EGG_DITTO,EGG_DITTO,tmhm
DODRIO ,085,62,115,70,101,60,60,NORMAL, FLYING ,45,158,NO_ITEM, SHARP_BEAK ,GENDER_F50 ,20 ,GROWTH_MEDIUM_FAST,EGG_FLYING,EGG_FLYING,"CURSE, TRI_ATTACK, DOUBLE_EDGE, SUBSTITUTE, TOXIC, HIDDEN_POWER, SUNNY_DAY, HYPER_BEAM, PROTECT, RETURN, MUD_SLAP, SWAGGER, REST, SLEEP_TALK, ATTRACT, THIEF, STEEL_WING, FLY"
DODUO ,084,35,85,45,75,35,35,NORMAL, FLYING ,190,96,NO_ITEM, NO_ITEM ,GENDER_F50 ,20 ,GROWTH_MEDIUM_FAST,EGG_FLYING,EGG_FLYING,"CURSE, TOXIC, HIDDEN_POWER, SUNNY_DAY, PROTECT, RETURN, MUD_SLAP, SWAGGER, REST, SLEEP_TALK, ATTRACT, THIEF, STEEL_WING, FLY"
DONPHAN ,232,90,120,120,50,60,60,GROUND, GROUND ,60,189,NO_ITEM, NO_ITEM ,GENDER_F50 ,20 ,GROWTH_MEDIUM_FAST,EGG_GROUND,EGG_GROUND,"HEADBUTT, SANDSTORM, ROCK_SLIDE, DOUBLE_EDGE, BODY_SLAM, SUBSTITUTE, CURSE, ROAR, TOXIC, ROCK_SMASH, HIDDEN_POWER, SUNNY_DAY, HYPER_BEAM, PROTECT, EARTHQUAKE, RETURN, MUD_SLAP, SWAGGER, REST, SLEEP_TALK, ATTRACT, STRENGTH, EARTH_POWER"
DRAGONAIR ,148,61,84,65,70,70,70,DRAGON, DRAGON ,45,144,NO_ITEM, DRAGON_SCALE ,GENDER_F50 ,40 ,GROWTH_SLOW,EGG_WATER_1,EGG_WATER_1,"HEADBUTT, BUBBLEBEAM, DOUBLE_EDGE, BODY_SLAM, THUNDER_WAVE, SUBSTITUTE, DRAGON_RAGE, CURSE, TOXIC, ZAP_CANNON, HIDDEN_POWER, BLIZZARD, ICY_WIND, PROTECT, RAIN_DANCE, IRON_TAIL, DRAGONBREATH, THUNDER, RETURN, SWAGGER, FIRE_BLAST, REST, SLEEP_TALK, ATTRACT, SURF, WATERFALL, FLAMETHROWER, THUNDERBOLT, ICE_BEAM"
DRAGONITE ,149,91,134,95,80,100,100,DRAGON, FLYING ,45,218,NO_ITEM, DRAGON_SCALE ,GENDER_F50 ,40 ,GROWTH_SLOW,EGG_WATER_1,EGG_WATER_1,"DYNAMICPUNCH, SANDSTORM, BUBBLEBEAM, DOUBLE_EDGE, BODY_SLAM, THUNDER_WAVE, SUBSTITUTE, DRAGON_RAGE, HEADBUTT, CURSE, TOXIC, ZAP_CANNON, ROCK_SMASH, HIDDEN_POWER, BLIZZARD, HYPER_BEAM, ICY_WIND, PROTECT, RAIN_DANCE, IRON_TAIL, DRAGONBREATH, THUNDER, RETURN, MUD_SLAP, ICE_PUNCH, SWAGGER, FIRE_BLAST, THUNDERPUNCH, REST, SLEEP_TALK, ATTRACT, STEEL_WING, FIRE_PUNCH, FURY_CUTTER, FLY, SURF, STRENGTH, WHIRLPOOL, WATERFALL, FLAMETHROWER, THUNDERBOLT, ICE_BEAM, FOCUS_BLAST, BRICK_BREAK"
DRATINI ,147,41,64,45,50,50,50,DRAGON, DRAGON ,45,67,NO_ITEM, DRAGON_SCALE ,GENDER_F50 ,40 ,GROWTH_SLOW,EGG_WATER_1,EGG_WATER_1,"HEADBUTT, CURSE, TOXIC, ZAP_CANNON, HIDDEN_POWER, BLIZZARD, ICY_WIND, PROTECT, RAIN_DANCE, IRON_TAIL, DRAGONBREATH, THUNDER, RETURN, SWAGGER, FIRE_BLAST, REST, SLEEP_TALK, ATTRACT, SURF, WATERFALL, FLAMETHROWER, THUNDERBOLT, ICE_BEAM"
