Pokemon_Name,Levelup_Learnset
Nidoking,"['1, TACKLE', '1, HORN_ATTACK', '1, DOUBLE_KICK', '1, POISON_STING', '23, THRASH', '27, FOCUS_ENERGY', '30, CONFUSION', '33, DISABLE', '36, FURY_ATTACK', '40, AMNESIA', '42, COUNTER', '46, HORN_DRILL', '63, EARTH_POWER']"
Clefairy,"['1, POUND', '1, GROWL', '4, ENCORE', '8, SING', '13, DOUBLESLAP', '19, MINIMIZE', '26, DEFENSE_CURL', '34, METRONOME', '43, MOONLIGHT', '53, LIGHT_SCREEN']"
Clefable,"['1, MOONLIGHT', '4, ENCORE', '8, SING', '13, DOUBLESLAP', '19, MINIMIZE', '26, DEFENSE_CURL', '29, AMNESIA', '34, METRONOME', '39, MIMIC', '43, MOONLIGHT', '45, BELLY_DRUM', '53, LIGHT_SCREEN']"
Vulpix,"['1, EMBER', '1, TAIL_WHIP', '7, QUICK_ATTACK', '13, ROAR', '19, CONFUSE_RAY', '25, SAFEGUARD', '31, FLAMETHROWER', '37, FIRE_SPIN']"
Ninetales,"['1, SAFEGUARD', '7, QUICK_ATTACK', '13, ROAR', '19, CONFUSE_RAY', '25, SAFEGUARD', '31, FLAMETHROWER', '33, LICK', '35, FAINT_ATTACK', '37, FIRE_SPIN', '39, HYPNOSIS', '42, DISABLE', '46, NIGHTMARE']"
Jigglypuff,"['1, SING', '4, DEFENSE_CURL', '9, POUND', '14, DISABLE', '19, ROLLOUT', '24, DOUBLESLAP', '29, REST', '34, BODY_SLAM', '39, DOUBLE_EDGE']"
Wigglytuff,"['1, DEFENSE_CURL', '9, POUND', '14, DISABLE', '19, ROLLOUT', '24, DOUBLESLAP', '29, REST', '30, DIZZY_PUNCH', '34, BODY_SLAM', '36, MIMIC', '39, DOUBLE_EDGE', '40, PERISH_SONG', '43, ICY_WIND', '45, PETAL_DANCE']"
Zubat,"['1, LEECH_LIFE', '6, SUPERSONIC', '12, BITE', '19, CONFUSE_RAY', '27, WING_ATTACK', '36, MEAN_LOOK', '46, HAZE']"
Golbat,"['1, SCREECH', '1, LEECH_LIFE', '1, SUPERSONIC', '6, SUPERSONIC', '12, BITE', '19, CONFUSE_RAY', '27, WING_ATTACK', '36, MEAN_LOOK', '46, HAZE']"
Oddish,"['1, ABSORB', '7, SIGNAL_BEAM', '14, POISONPOWDER', '16, STUN_SPORE', '18, SLEEP_POWDER', '23, ACID', '32, MOONLIGHT', '39, PETAL_DANCE']"
Gloom,"['1, ABSORB', '1, SIGNAL_BEAM', '1, POISONPOWDER', '7, SIGNAL_BEAM', '14, POISONPOWDER', '16, STUN_SPORE', '18, SLEEP_POWDER', '24, ACID', '35, MOONLIGHT', '44, PETAL_DANCE']"
Vileplume,"['1, PETAL_DANCE', '7, SIGNAL_BEAM', '14, POISONPOWDER', '16, STUN_SPORE', '18, SLEEP_POWDER', '24, ACID', '29, RAZOR_LEAF', '35, MOONLIGHT', '37, VINE_WHIP', '39, SYNTHESIS', '44, PETAL_DANCE', '50, SWORDS_DANCE']"
Paras,"['1, SCRATCH', '7, STUN_SPORE', '13, POISONPOWDER', '19, LEECH_LIFE', '25, SPORE', '31, SLASH', '37, GROWTH', '43, GIGA_DRAIN']"
Parasect,"['1, STUN_SPORE', '19, LEECH_LIFE', '28, SPORE', '32, COUNTER', '35, SYNTHESIS', '36, LIGHT_SCREEN', '37, SCREECH', '38, SLASH', '41, PSYBEAM', '44, TWINEEDLE', '46, GROWTH', '48, PURSUIT', '50, GIGA_DRAIN']"
Venonat,"['1, TACKLE', '1, DISABLE', '1, FORESIGHT', '9, SUPERSONIC', '17, CONFUSION', '20, POISONPOWDER', '25, LEECH_LIFE', '28, STUN_SPORE', '33, PSYBEAM', '35, SIGNAL_BEAM', '36, SLEEP_POWDER', '37, ZEN_HEADBUTT', '41, PSYCHIC_M']"
Venomoth,"['1, SUPERSONIC', '17, CONFUSION', '20, POISONPOWDER', '25, LEECH_LIFE', '28, STUN_SPORE', '31, GUST', '32, GIGA_DRAIN', '36, PSYBEAM', '37, SIGNAL_BEAM', '39, SCREECH', '41, ZEN_HEADBUTT', '42, SLEEP_POWDER', '45, BATON_PASS', '52, PSYCHIC_M']"
Diglett,"['1, SCRATCH', '5, GROWL', '9, MAGNITUDE', '17, DIG', '25, SAND_ATTACK', '33, SLASH', '36, EARTH_POWER', '41, EARTHQUAKE', '49, FISSURE']"
Dugtrio,"['1, MAGNITUDE', '5, GROWL', '9, MAGNITUDE', '17, DIG', '25, SAND_ATTACK', '28, SCREECH', '35, ANCIENTPOWER', '37, SLASH', '42, EARTH_POWER', '49, EARTHQUAKE', '61, FISSURE']"
Meowth,"['1, SCRATCH', '1, GROWL', '11, BITE', '20, PAY_DAY', '28, FAINT_ATTACK', '35, SCREECH', '41, FURY_SWIPES', '42, SNORE', '46, SLASH']"
Persian,"['1, SCRATCH', '1, GROWL', '1, BITE', '11, BITE', '20, PAY_DAY', '29, FAINT_ATTACK', '30, POWER_GEM', '32, AMNESIA', '34, CHARM', '38, SCREECH', '40, HYPNOSIS', '42, SNORE', '46, SLASH']"
Psyduck,"['1, SCRATCH', '5, TAIL_WHIP', '10, DISABLE', '16, CONFUSION', '23, SCREECH', '29, ZEN_HEADBUTT', '31, PSYCH_UP', '40, FURY_SWIPES', '50, HYDRO_PUMP']"
Golduck,"['1, TAIL_WHIP', '10, DISABLE', '16, CONFUSION', '23, SCREECH', '29, ZEN_HEADBUTT', '31, PSYCH_UP', '33, FORESIGHT', '35, MEDITATE', '36, FUTURE_SIGHT', '39, LIGHT_SCREEN', '41, TRI_ATTACK', '43, PSYCHIC', '44, CROSS_CHOP', '50, HYDRO_PUMP']"
Mankey,"['1, SCRATCH', '1, LEER', '9, LOW_KICK', '15, KARATE_CHOP', '21, FURY_SWIPES', '27, FOCUS_ENERGY', '33, SEISMIC_TOSS', '39, CROSS_CHOP', '45, SCREECH', '51, THRASH']"
Primeape,"['1, LOW_KICK', '15, KARATE_CHOP', '21, FURY_SWIPES', '27, FOCUS_ENERGY', '28, RAGE', '29, COUNTER', '31, FORESIGHT', '35, REVERSAL', '36, SEISMIC_TOSS', '39, MEDITATE', '45, CROSS_CHOP', '49, ROCK_SLIDE', '54, SCREECH']"
Growlithe,"['1, BITE', '1, ROAR', '9, EMBER', '18, LEER', '26, TAKE_DOWN', '34, FLAME_WHEEL', '42, AGILITY', '50, FLAMETHROWER']"
Arcanine,"['1, FLAME_WHEEL', '9, EMBER', '18, LEER', '26, TAKE_DOWN', '32, CRUNCH', '34, FLAME_WHEEL', '39, BODY_SLAM', '42, AGILITY', '44, SAFEGUARD', '48, ANCIENTPOWER', '50, FLAMETHROWER', '52, EXTREMESPEED']"
Poliwag,"['1, BUBBLE', '7, HYPNOSIS', '13, WATER_GUN', '19, DOUBLESLAP', '25, RAIN_DANCE', '31, BODY_SLAM', '37, BELLY_DRUM', '43, HYDRO_PUMP']"
Poliwhirl,"['1, BUBBLE', '1, HYPNOSIS', '1, WATER_GUN', '7, HYPNOSIS', '13, WATER_GUN', '19, DOUBLESLAP', '27, RAIN_DANCE', '35, BODY_SLAM', '43, BELLY_DRUM', '51, HYDRO_PUMP']"
Poliwrath,"['1, HYPNOSIS', '13, WATER_GUN', '19, DOUBLESLAP', '27, RAIN_DANCE', '35, BODY_SLAM', '39, HAZE', '40, SWEET_KISS', '43, BELLY_DRUM', '45, SUBMISSION', '51, HYDRO_PUMP', '53, MIND_READER']"
Abra,"['1, TELEPORT']"
Kadabra,"['1, TELEPORT', '1, KINESIS', '1, CONFUSION', '16, CONFUSION', '18, DISABLE', '19, PSYWAVE', '21, PSYBEAM', '25, ZEN_HEADBUTT', '26, RECOVER', '31, FUTURE_SIGHT', '38, PSYCHIC_M', '45, REFLECT']"
Alakazam,"['1, TELEPORT', '1, KINESIS', '1, CONFUSION', '16, CONFUSION', '18, DISABLE', '19, PSYWAVE', '21, PSYBEAM', '25, ZEN_HEADBUTT', '26, RECOVER', '31, FUTURE_SIGHT', '38, PSYCHIC_M', '45, REFLECT', '46, BARRIER', '47, LIGHT_SCREEN', '59, THUNDERBOLT']"
Machop,"['1, LOW_KICK', '1, LEER', '7, FOCUS_ENERGY', '13, KARATE_CHOP', '19, SEISMIC_TOSS', '21, BRICK_BREAK', '25, FORESIGHT', '31, VITAL_THROW', '37, CROSS_CHOP', '43, SCARY_FACE', '49, SUBMISSION']"
Machoke,"['1, LOW_KICK', '1, LEER', '1, FOCUS_ENERGY', '8, FOCUS_ENERGY', '15, KARATE_CHOP', '19, SEISMIC_TOSS', '21, BRICK_BREAK', '25, FORESIGHT', '34, VITAL_THROW', '43, CROSS_CHOP', '52, SCARY_FACE', '61, SUBMISSION']"
Machamp,"['1, LOW_KICK', '8, FOCUS_ENERGY', '15, KARATE_CHOP', '19, SEISMIC_TOSS', '25, FORESIGHT', '34, VITAL_THROW', '41, ENCORE', '43, CROSS_CHOP', '46, LIGHT_SCREEN', '48, MEDITATE', '52, SCARY_FACE', '61, SUBMISSION']"
Bellsprout,"['1, VINE_WHIP', '6, GROWTH', '11, WRAP', '15, SLEEP_POWDER', '17, POISONPOWDER', '19, STUN_SPORE', '23, ACID', '30, SIGNAL_BEAM', '37, RAZOR_LEAF', '45, SLAM']"
Weepinbell,"['1, VINE_WHIP', '1, GROWTH', '1, WRAP', '6, GROWTH', '11, WRAP', '15, SLEEP_POWDER', '17, POISONPOWDER', '19, STUN_SPORE', '24, ACID', '33, SIGNAL_BEAM', '42, RAZOR_LEAF']"
Victreebel,"['1, RAZOR_LEAF', '6, GROWTH', '15, SLEEP_POWDER', '19, STUN_SPORE', '24, ACID', '32, ENCORE', '33, SIGNAL_BEAM', '38, LEECH_LIFE', '40, SWORDS_DANCE', '42, RAZOR_LEAF', '44, REFLECT', '47, SYNTHESIS', '54, GIGA_DRAIN']"
Tentacool,"['1, POISON_STING', '6, SUPERSONIC', '12, CONSTRICT', '19, ACID', '25, BUBBLEBEAM', '30, WRAP', '36, BARRIER', '43, SCREECH', '49, HYDRO_PUMP']"
Tentacruel,"['1, SUPERSONIC', '19, ACID', '25, BUBBLEBEAM', '30, WRAP', '32, AURORA_BEAM', '34, MIRROR_COAT', '36, CONFUSE_RAY', '38, BARRIER', '41, RAPID_SPIN', '42, HAZE', '45, SAFEGUARD', '47, SCREECH', '55, HYDRO_PUMP']"
Geodude,"['1, TACKLE', '6, DEFENSE_CURL', '11, ROCK_THROW', '16, MAGNITUDE', '21, SELFDESTRUCT', '26, HARDEN', '31, ROLLOUT', '36, EARTHQUAKE', '41, EXPLOSION']"
Graveler,"['1, TACKLE', '1, DEFENSE_CURL', '1, ROCK_THROW', '6, DEFENSE_CURL', '11, ROCK_THROW', '16, MAGNITUDE', '21, SELFDESTRUCT', '27, HARDEN', '34, ROLLOUT', '41, EARTHQUAKE', '48, EXPLOSION']"
Golem,"['1, ROCK_THROW', '1, MAGNITUDE', '6, DEFENSE_CURL', '11, ROCK_THROW', '16, MAGNITUDE', '21, SELFDESTRUCT', '27, HARDEN', '34, ROLLOUT', '41, EARTHQUAKE', '43, ROCK_SLIDE', '45, RAPID_SPIN', '48, EXPLOSION']"
Ponyta,"['1, TACKLE', '4, GROWL', '8, TAIL_WHIP', '13, EMBER', '19, STOMP', '23, QUICK_ATTACK', '26, FIRE_SPIN', '34, TAKE_DOWN', '43, AGILITY', '53, FIRE_BLAST']"
Rapidash,"['1, TAIL_WHIP', '13, EMBER', '19, STOMP', '26, FIRE_SPIN', '34, TAKE_DOWN', '40, FURY_ATTACK', '42, EARTHQUAKE', '44, FLAME_WHEEL', '46, CHARM', '47, AGILITY', '49, HYPNOSIS', '52, DOUBLE_KICK', '54, FIRE_BLAST']"
Slowpoke,"['1, CURSE', '1, TACKLE', '6, GROWL', '15, WATER_GUN', '20, CONFUSION', '22, BELLY_DRUM', '24, SAFEGUARD', '26, STOMP', '27, FUTURE_SIGHT', '29, DISABLE', '34, ZEN_HEADBUTT', '43, AMNESIA', '48, PSYCHIC_M']"
Slowbro,"['1, WATER_GUN', '6, GROWL', '15, WATER_GUN', '20, CONFUSION', '22, BELLY_DRUM', '24, SAFEGUARD', '26, STOMP', '27, FUTURE_SIGHT', '29, DISABLE', '34, ZEN_HEADBUTT', '37, WITHDRAW', '46, AMNESIA', '54, PSYCHIC_M']"
Magnemite,"['1, TACKLE', '6, THUNDERSHOCK', '11, SUPERSONIC', '16, SONICBOOM', '21, THUNDER_WAVE', '27, LOCK_ON', '33, SWIFT', '39, SCREECH', '45, ZAP_CANNON']"
Magneton,"['1, SONICBOOM', '6, THUNDERSHOCK', '11, SUPERSONIC', '16, SONICBOOM', '21, THUNDER_WAVE', '27, LOCK_ON', '34, THUNDERBOLT', '35, TRI_ATTACK', '43, SCREECH', '49, EXPLOSION', '53, ZAP_CANNON']"
FarfetchD,"['1, PECK', '7, SAND_ATTACK', '13, LEER', '19, FURY_ATTACK', '25, SWORDS_DANCE', '27, QUICK_ATTACK', '29, MIRROR_MOVE', '31, AGILITY', '33, FLAIL', '37, SLASH', '44, FALSE_SWIPE']"
Doduo,"['1, PECK', '1, GROWL', '9, PURSUIT', '13, FURY_ATTACK', '21, TRI_ATTACK', '25, RAGE', '33, DRILL_PECK', '37, AGILITY']"
Dodrio,"['1, FURY_ATTACK', '9, PURSUIT', '13, FURY_ATTACK', '21, TRI_ATTACK', '25, RAGE', '32, FLAIL', '34, QUICK_ATTACK', '38, DRILL_PECK', '40, LOW_KICK', '47, AGILITY']"
Seel,"['1, HEADBUTT', '5, GROWL', '16, AURORA_BEAM', '21, REST', '32, TAKE_DOWN', '37, ICE_BEAM', '48, SAFEGUARD']"
Dewgong,"['1, AURORA_BEAM', '5, GROWL', '7, SIGNAL_BEAM', '16, AURORA_BEAM', '21, REST', '32, TAKE_DOWN', '35, DISABLE', '36, LICK', '38, PERISH_SONG', '40, PECK', '43, ICE_BEAM', '45, MEGAHORN', '53, SAFEGUARD']"
Grimer,"['1, POISON_GAS', '1, POUND', '5, HARDEN', '10, DISABLE', '16, SLUDGE', '23, MINIMIZE', '31, SCREECH', '40, ACID_ARMOR', '50, SLUDGE_BOMB']"
Muk,"['1, POISON_GAS', '1, POUND', '1, HARDEN', '33, HARDEN', '37, DISABLE', '45, SLUDGE', '23, MINIMIZE', '31, SCREECH', '39, HAZE', '41, MEAN_LOOK', '43, LICK', '45, ACID_ARMOR', '50, SLUDGE_BOMB']"
Shellder,"['1, TACKLE', '1, WITHDRAW', '9, SUPERSONIC', '17, AURORA_BEAM', '25, PROTECT', '33, LEER', '41, CLAMP', '49, ICE_BEAM']"
Cloyster,"['1, SUPERSONIC', '17, AURORA_BEAM', '25, PROTECT', '33, LEER', '34, SPIKES', '36, BARRIER', '39, BUBBLEBEAM', '41, CLAMP', '43, RAPID_SPIN', '46, SCREECH', '49, ICE_BEAM', '50, SPIKE_CANNON', '51, EXPLOSION']"
Gastly,"['1, HYPNOSIS', '1, LICK ;', '8, SPITE', '13, MEAN_LOOK', '16, CURSE', '21, NIGHT_SHADE', '28, CONFUSE_RAY', '33, DREAM_EATER', '36, DESTINY_BOND']"
Haunter,"['1, HYPNOSIS', '1, LICK ;', '1, SPITE ;', '8, SPITE', '13, MEAN_LOOK', '16, CURSE', '21, NIGHT_SHADE', '31, CONFUSE_RAY', '39, DREAM_EATER', '48, DESTINY_BOND']"
Gengar,"['1, HYPNOSIS', '13, MEAN_LOOK', '16, CURSE', '21, NIGHT_SHADE', '31, CONFUSE_RAY', '39, DREAM_EATER', '43, HAZE', '44, NIGHTMARE', '46, PERISH_SONG', '48, DESTINY_BOND', '57, EXPLOSION']"
Onix,"['1, TACKLE', '1, SCREECH', '10, BIND', '12, BIDE', '14, ROCK_THROW', '23, HARDEN', '27, RAGE', '33, EARTHQUAKE', '36, ROCK_SLIDE', '40, SLAM']"
Drowzee,"['1, POUND', '1, HYPNOSIS', '10, DISABLE', '18, CONFUSION', '20, PSYWAVE', '25, HEADBUTT', '36, MEDITATE', '40, PSYCHIC_M', '41, ZEN_HEADBUTT', '43, PSYCH_UP', '45, FUTURE_SIGHT']"
Hypno,"['1, CONFUSION', '10, DISABLE', '18, CONFUSION', '20, PSYWAVE', '25, HEADBUTT', '34, BARRIER', '37, LIGHT_SCREEN', '40, MEDITATE', '41, ZEN_HEADBUTT', '42, PSYCHIC_M', '45, PSYCH_UP', '50, FUTURE_SIGHT']"
Krabby,"['1, BUBBLE', '5, LEER', '12, VICEGRIP', '16, HARDEN', '23, STOMP', '27, GUILLOTINE', '34, PROTECT', '41, CRABHAMMER']"
Kingler,"['11, VICEGRIP', '16, HARDEN', '23, STOMP', '27, GUILLOTINE', '29, AMNESIA', '33, METAL_CLAW', '35, DIG', '37, FLAIL', '38, PROTECT', '41, HAZE', '44, CRABHAMMER']"
Voltorb,"['1, TACKLE', '9, SCREECH', '17, SONICBOOM', '23, SELFDESTRUCT', '29, ROLLOUT', '33, LIGHT_SCREEN', '37, SWIFT', '39, EXPLOSION', '41, MIRROR_COAT']"
Electrode,"['1, SELFDESTRUCT', '9, SCREECH', '17, SONICBOOM', '23, SELFDESTRUCT', '29, ROLLOUT', '31, RAPID_SPIN', '33, THUNDERBOLT', '34, LIGHT_SCREEN', '40, SWIFT', '43, THUNDER', '44, EXPLOSION', '48, MIRROR_COAT']"
Exeggcute,"['1, BARRAGE', '1, HYPNOSIS', '7, REFLECT', '13, LEECH_SEED', '19, CONFUSION', '25, STUN_SPORE', '31, POISONPOWDER', '37, SLEEP_POWDER', '43, SOLARBEAM']"
Exeggutor,"['1, CONFUSION', '7, REFLECT', '13, LEECH_SEED', '19, CONFUSION', '25, STUN_SPORE', '31, POISONPOWDER', '34, ANCIENTPOWER', '36, REFLECT', '37, SLEEP_POWDER', '38, EGG_BOMB', '40, SYNTHESIS', '43, SOLARBEAM']"
Cubone,"['1, GROWL', '5, TAIL_WHIP', '9, BONE_CLUB', '13, HEADBUTT', '17, LEER', '21, FOCUS_ENERGY', '25, BONEMERANG', '29, RAGE', '33, FALSE_SWIPE', '37, THRASH', '41, BONE_RUSH']"
Marowak,"['1, BONE_CLUB', '13, HEADBUTT', '25, BONEMERANG', '33, PERISH_SONG', '35, SCREECH', '36, BELLY_DRUM', '38, SWORDS_DANCE', '39, FALSE_SWIPE', '42, ANCIENTPOWER', '46, EARTHQUAKE', '49, ROCK_SLIDE', '50, SKULL_BASH', '53, BONE_RUSH']"
Hitmonlee,"['1, DOUBLE_KICK', '11, ROLLING_KICK', '16, BRICK_BREAK', '21, FOCUS_ENERGY', '26, HI_JUMP_KICK', '31, MIND_READER', '35, MEDITATE', '36, FORESIGHT', '39, RAPID_SPIN', '41, ENDURE', '46, MEGA_KICK', '51, REVERSAL']"
Hitmonchan,"['1, COMET_PUNCH', '7, AGILITY', '26, THUNDERPUNCH', '26, ICE_PUNCH', '26, FIRE_PUNCH', '32, MACH_PUNCH', '34, MEDITATE', '35, SUBMISSION', '38, MEGA_PUNCH', '42, DIZZY_PUNCH', '44, DETECT', '50, COUNTER']"
Lickitung,"['1, LICK', '7, SUPERSONIC', '13, DEFENSE_CURL', '19, STOMP', '25, WRAP', '31, DISABLE', '32, MAGNITUDE', '34, LOVELY_KISS', '36, BELLY_DRUM', '37, SLAM', '40, BODY_SLAM', '43, SCREECH', '45, SNORE']"
Koffing,"['1, POISON_GAS', '1, TACKLE', '9, TOXIC', '17, SELFDESTRUCT', '21, SLUDGE', '25, SMOKESCREEN', '33, HAZE', '41, EXPLOSION', '45, DESTINY_BOND']"
Weezing,"['1, SELFDESTRUCT', '9, TOXIC', '17, SELFDESTRUCT', '21, SLUDGE', '25, SMOKESCREEN', '33, HAZE', '36, PAIN_SPLIT', '39, PSYBEAM', '42, SCREECH', '44, EXPLOSION', '51, DESTINY_BOND']"
