Pokemon_Name,Levelup_Learnset
Sandshrew,"['1, SCRATCH', '6, DEFENSE_CURL', '11, SAND_ATTACK', '17, POISON_STING', '23, SLASH', '30, SWIFT', '37, FURY_SWIPES', '45, SANDSTORM']"
Sandslash,"['1, SCRATCH', '1, DEFENSE_CURL', '1, SAND_ATTACK', '6, DEFENSE_CURL', '11, SAND_ATTACK', '17, POISON_STING', '24, SLASH', '33, SWIFT', '42, FURY_SWIPES', '52, SANDSTORM']"
NidoranF,"['1, GROWL', '1, TACKLE', '8, SCRATCH', '12, DOUBLE_KICK', '17, POISON_STING', '23, TAIL_WHIP', '30, BITE', '38, FURY_SWIPES']"
Nidorina,"['1, GROWL', '1, TACKLE', '8, SCRATCH', '12, DOUBLE_KICK', '19, POISON_STING', '27, TAIL_WHIP', '36, BITE', '46, FURY_SWIPES']"
Nidoqueen,"['1, TACKLE', '1, SCRATCH', '1, DOUBLE_KICK', '1, TAIL_WHIP', '23, BODY_SLAM']"
NidoranM,"['1, LEER', '1, TACKLE', '8, HORN_ATTACK', '12, DOUBLE_KICK', '17, POISON_STING', '23, FOCUS_ENERGY', '30, FURY_ATTACK', '38, HORN_DRILL']"
Nidorino,"['1, LEER', '1, TACKLE', '8, HORN_ATTACK', '12, DOUBLE_KICK', '19, POISON_STING', '27, FOCUS_ENERGY', '36, FURY_ATTACK', '46, HORN_DRILL']"
Nidoking,"['1, TACKLE', '1, HORN_ATTACK', '1, DOUBLE_KICK', '1, POISON_STING', '23, THRASH']"
Clefairy,"['1, POUND', '1, GROWL', '4, ENCORE', '8, SING', '13, DOUBLESLAP', '19, MINIMIZE', '26, DEFENSE_CURL', '34, METRONOME', '43, MOONLIGHT', '53, LIGHT_SCREEN']"
Clefable,"['1, SING', '1, DOUBLESLAP', '1, METRONOME', '1, MOONLIGHT']"
Vulpix,"['1, EMBER', '1, TAIL_WHIP', '7, QUICK_ATTACK', '13, ROAR', '19, CONFUSE_RAY', '25, SAFEGUARD', '31, FLAMETHROWER', '37, FIRE_SPIN']"
Ninetales,"['1, EMBER', '1, QUICK_ATTACK', '1, CONFUSE_RAY', '1, SAFEGUARD', '43, FIRE_SPIN']"
Jigglypuff,"['1, SING', '4, DEFENSE_CURL', '9, POUND', '14, DISABLE', '19, ROLLOUT', '24, DOUBLESLAP', '29, REST', '34, BODY_SLAM', '39, DOUBLE_EDGE']"
Wigglytuff,"['1, SING', '1, DISABLE', '1, DEFENSE_CURL', '1, DOUBLESLAP']"
Zubat,"['1, LEECH_LIFE', '6, SUPERSONIC', '12, BITE', '19, CONFUSE_RAY', '27, WING_ATTACK', '36, MEAN_LOOK', '46, HAZE']"
Golbat,"['1, SCREECH', '1, LEECH_LIFE', '1, SUPERSONIC', '6, SUPERSONIC', '12, BITE', '19, CONFUSE_RAY', '30, WING_ATTACK', '42, MEAN_LOOK', '55, HAZE']"
Oddish,"['1, ABSORB', '7, SWEET_SCENT', '14, POISONPOWDER', '16, STUN_SPORE', '18, SLEEP_POWDER', '23, ACID', '32, MOONLIGHT', '39, PETAL_DANCE']"
Gloom,"['1, ABSORB', '1, SWEET_SCENT', '1, POISONPOWDER', '7, SWEET_SCENT', '14, POISONPOWDER', '16, STUN_SPORE', '18, SLEEP_POWDER', '24, ACID', '35, MOONLIGHT', '44, PETAL_DANCE']"
Vileplume,"['1, ABSORB', '1, SWEET_SCENT', '1, STUN_SPORE', '1, PETAL_DANCE']"
Paras,"['1, SCRATCH', '7, STUN_SPORE', '13, POISONPOWDER', '19, LEECH_LIFE', '25, SPORE', '31, SLASH', '37, GROWTH', '43, GIGA_DRAIN']"
Parasect,"['1, SCRATCH', '1, STUN_SPORE', '1, POISONPOWDER', '7, STUN_SPORE', '13, POISONPOWDER', '19, LEECH_LIFE', '28, SPORE', '37, SLASH', '46, GROWTH', '55, GIGA_DRAIN']"
Venonat,"['1, TACKLE', '1, DISABLE', '1, FORESIGHT', '9, SUPERSONIC', '17, CONFUSION', '20, POISONPOWDER', '25, LEECH_LIFE', '28, STUN_SPORE', '33, PSYBEAM', '36, SLEEP_POWDER', '41, PSYCHIC_M']"
Venomoth,"['1, TACKLE', '1, DISABLE', '1, FORESIGHT', '1, SUPERSONIC', '9, SUPERSONIC', '17, CONFUSION', '20, POISONPOWDER', '25, LEECH_LIFE', '28, STUN_SPORE', '31, GUST', '36, PSYBEAM', '42, SLEEP_POWDER', '52, PSYCHIC_M']"
Diglett,"['1, SCRATCH', '5, GROWL', '9, MAGNITUDE', '17, DIG', '25, SAND_ATTACK', '33, SLASH', '41, EARTHQUAKE', '49, FISSURE']"
Dugtrio,"['1, TRI_ATTACK', '1, SCRATCH', '1, GROWL', '1, MAGNITUDE', '5, GROWL', '9, MAGNITUDE', '17, DIG', '25, SAND_ATTACK', '37, SLASH', '49, EARTHQUAKE', '61, FISSURE']"
Meowth,"['1, SCRATCH', '1, GROWL', '11, BITE', '20, PAY_DAY', '28, FAINT_ATTACK', '35, SCREECH', '41, FURY_SWIPES', '46, SLASH']"
Persian,"['1, SCRATCH', '1, GROWL', '1, BITE', '11, BITE', '20, PAY_DAY', '29, FAINT_ATTACK', '38, SCREECH', '46, FURY_SWIPES', '53, SLASH']"
Psyduck,"['1, SCRATCH', '5, TAIL_WHIP', '10, DISABLE', '16, CONFUSION', '23, SCREECH', '31, PSYCH_UP', '40, FURY_SWIPES', '50, HYDRO_PUMP']"
Golduck,"['1, SCRATCH', '1, TAIL_WHIP', '1, DISABLE', '1, CONFUSION', '5, TAIL_WHIP', '10, DISABLE', '16, CONFUSION', '23, SCREECH', '31, PSYCH_UP', '44, FURY_SWIPES', '58, HYDRO_PUMP']"
Mankey,"['1, SCRATCH', '1, LEER', '9, LOW_KICK', '15, KARATE_CHOP', '21, FURY_SWIPES', '27, FOCUS_ENERGY', '33, SEISMIC_TOSS', '39, CROSS_CHOP', '45, SCREECH', '51, THRASH']"
Primeape,"['1, SCRATCH', '1, LEER', '1, LOW_KICK', '1, RAGE', '9, LOW_KICK', '15, KARATE_CHOP', '21, FURY_SWIPES', '27, FOCUS_ENERGY', '28, RAGE', '36, SEISMIC_TOSS', '45, CROSS_CHOP', '54, SCREECH', '63, THRASH']"
Growlithe,"['1, BITE', '1, ROAR', '9, EMBER', '18, LEER', '26, TAKE_DOWN', '34, FLAME_WHEEL', '42, AGILITY', '50, FLAMETHROWER']"
Arcanine,"['1, ROAR', '1, LEER', '1, TAKE_DOWN', '1, FLAME_WHEEL', '50, EXTREMESPEED']"
Poliwag,"['1, BUBBLE', '7, HYPNOSIS', '13, WATER_GUN', '19, DOUBLESLAP', '25, RAIN_DANCE', '31, BODY_SLAM', '37, BELLY_DRUM', '43, HYDRO_PUMP']"
Poliwhirl,"['1, BUBBLE', '1, HYPNOSIS', '1, WATER_GUN', '7, HYPNOSIS', '13, WATER_GUN', '19, DOUBLESLAP', '27, RAIN_DANCE', '35, BODY_SLAM', '43, BELLY_DRUM', '51, HYDRO_PUMP']"
Poliwrath,"['1, WATER_GUN', '1, HYPNOSIS', '1, DOUBLESLAP', '1, SUBMISSION', '35, SUBMISSION', '51, MIND_READER']"
Abra,"['1, TELEPORT']"
Kadabra,"['1, TELEPORT', '1, KINESIS', '1, CONFUSION', '16, CONFUSION', '18, DISABLE', '21, PSYBEAM', '26, RECOVER', '31, FUTURE_SIGHT', '38, PSYCHIC_M', '45, REFLECT']"
Alakazam,"['1, TELEPORT', '1, KINESIS', '1, CONFUSION', '16, CONFUSION', '18, DISABLE', '21, PSYBEAM', '26, RECOVER', '31, FUTURE_SIGHT', '38, PSYCHIC_M', '45, REFLECT']"
Machop,"['1, LOW_KICK', '1, LEER', '7, FOCUS_ENERGY', '13, KARATE_CHOP', '19, SEISMIC_TOSS', '25, FORESIGHT', '31, VITAL_THROW', '37, CROSS_CHOP', '43, SCARY_FACE', '49, SUBMISSION']"
Machoke,"['1, LOW_KICK', '1, LEER', '1, FOCUS_ENERGY', '8, FOCUS_ENERGY', '15, KARATE_CHOP', '19, SEISMIC_TOSS', '25, FORESIGHT', '34, VITAL_THROW', '43, CROSS_CHOP', '52, SCARY_FACE', '61, SUBMISSION']"
Machamp,"['1, LOW_KICK', '1, LEER', '1, FOCUS_ENERGY', '8, FOCUS_ENERGY', '15, KARATE_CHOP', '19, SEISMIC_TOSS', '25, FORESIGHT', '34, VITAL_THROW', '43, CROSS_CHOP', '52, SCARY_FACE', '61, SUBMISSION']"
Bellsprout,"['1, VINE_WHIP', '6, GROWTH', '11, WRAP', '15, SLEEP_POWDER', '17, POISONPOWDER', '19, STUN_SPORE', '23, ACID', '30, SWEET_SCENT', '37, RAZOR_LEAF', '45, SLAM']"
Weepinbell,"['1, VINE_WHIP', '1, GROWTH', '1, WRAP', '6, GROWTH', '11, WRAP', '15, SLEEP_POWDER', '17, POISONPOWDER', '19, STUN_SPORE', '24, ACID', '33, SWEET_SCENT', '42, RAZOR_LEAF', '54, SLAM']"
Victreebel,"['1, VINE_WHIP', '1, SLEEP_POWDER', '1, SWEET_SCENT', '1, RAZOR_LEAF']"
Tentacool,"['1, POISON_STING', '6, SUPERSONIC', '12, CONSTRICT', '19, ACID', '25, BUBBLEBEAM', '30, WRAP', '36, BARRIER', '43, SCREECH', '49, HYDRO_PUMP']"
Tentacruel,"['1, POISON_STING', '1, SUPERSONIC', '1, CONSTRICT', '6, SUPERSONIC', '12, CONSTRICT', '19, ACID', '25, BUBBLEBEAM', '30, WRAP', '38, BARRIER', '47, SCREECH', '55, HYDRO_PUMP']"
Geodude,"['1, TACKLE', '6, DEFENSE_CURL', '11, ROCK_THROW', '16, MAGNITUDE', '21, SELFDESTRUCT', '26, HARDEN', '31, ROLLOUT', '36, EARTHQUAKE', '41, EXPLOSION']"
Graveler,"['1, TACKLE', '1, DEFENSE_CURL', '1, ROCK_THROW', '6, DEFENSE_CURL', '11, ROCK_THROW', '16, MAGNITUDE', '21, SELFDESTRUCT', '27, HARDEN', '34, ROLLOUT', '41, EARTHQUAKE', '48, EXPLOSION']"
Golem,"['1, TACKLE', '1, DEFENSE_CURL', '1, ROCK_THROW', '1, MAGNITUDE', '6, DEFENSE_CURL', '11, ROCK_THROW', '16, MAGNITUDE', '21, SELFDESTRUCT', '27, HARDEN', '34, ROLLOUT', '41, EARTHQUAKE', '48, EXPLOSION']"
Ponyta,"['1, TACKLE', '4, GROWL', '8, TAIL_WHIP', '13, EMBER', '19, STOMP', '26, FIRE_SPIN', '34, TAKE_DOWN', '43, AGILITY', '53, FIRE_BLAST']"
Rapidash,"['1, TACKLE', '1, GROWL', '1, TAIL_WHIP', '1, EMBER', '4, GROWL', '8, TAIL_WHIP', '13, EMBER', '19, STOMP', '26, FIRE_SPIN', '34, TAKE_DOWN', '40, FURY_ATTACK', '47, AGILITY', '61, FIRE_BLAST']"
Slowpoke,"['1, CURSE', '1, TACKLE', '6, GROWL', '15, WATER_GUN', '20, CONFUSION', '29, DISABLE', '34, HEADBUTT', '43, AMNESIA', '48, PSYCHIC_M']"
Slowbro,"['1, CURSE', '1, TACKLE', '1, GROWL', '1, WATER_GUN', '6, GROWL', '15, WATER_GUN', '20, CONFUSION', '29, DISABLE', '34, HEADBUTT', '37, WITHDRAW', '46, AMNESIA', '54, PSYCHIC_M']"
Magnemite,"['1, TACKLE', '6, THUNDERSHOCK', '11, SUPERSONIC', '16, SONICBOOM', '21, THUNDER_WAVE', '27, LOCK_ON', '33, SWIFT', '39, SCREECH', '45, ZAP_CANNON']"
Magneton,"['1, TACKLE', '1, THUNDERSHOCK', '1, SUPERSONIC', '1, SONICBOOM', '6, THUNDERSHOCK', '11, SUPERSONIC', '16, SONICBOOM', '21, THUNDER_WAVE', '27, LOCK_ON', '35, TRI_ATTACK', '43, SCREECH', '53, ZAP_CANNON']"
FarfetchD,"['1, PECK', '7, SAND_ATTACK', '13, LEER', '19, FURY_ATTACK', '25, SWORDS_DANCE', '31, AGILITY', '37, SLASH', '44, FALSE_SWIPE']"
Doduo,"['1, PECK', '1, GROWL', '9, PURSUIT', '13, FURY_ATTACK', '21, TRI_ATTACK', '25, RAGE', '33, DRILL_PECK', '37, AGILITY']"
Dodrio,"['1, PECK', '1, GROWL', '1, PURSUIT', '1, FURY_ATTACK', '9, PURSUIT', '13, FURY_ATTACK', '21, TRI_ATTACK', '25, RAGE', '38, DRILL_PECK', '47, AGILITY']"
Seel,"['1, HEADBUTT', '5, GROWL', '16, AURORA_BEAM', '21, REST', '32, TAKE_DOWN', '37, ICE_BEAM', '48, SAFEGUARD']"
Dewgong,"['1, HEADBUTT', '1, GROWL', '1, AURORA_BEAM', '5, GROWL', '16, AURORA_BEAM', '21, REST', '32, TAKE_DOWN', '43, ICE_BEAM', '60, SAFEGUARD']"
Grimer,"['1, POISON_GAS', '1, POUND', '5, HARDEN', '10, DISABLE', '16, SLUDGE', '23, MINIMIZE', '31, SCREECH', '40, ACID_ARMOR', '50, SLUDGE_BOMB']"
Muk,"['1, POISON_GAS', '1, POUND', '1, HARDEN', '33, HARDEN', '37, DISABLE', '45, SLUDGE', '23, MINIMIZE', '31, SCREECH', '45, ACID_ARMOR', '60, SLUDGE_BOMB']"
Shellder,"['1, TACKLE', '1, WITHDRAW', '9, SUPERSONIC', '17, AURORA_BEAM', '25, PROTECT', '33, LEER', '41, CLAMP', '49, ICE_BEAM']"
Cloyster,"['1, WITHDRAW', '1, SUPERSONIC', '1, AURORA_BEAM', '1, PROTECT', '33, SPIKES', '41, SPIKE_CANNON']"
Gastly,"['1, HYPNOSIS', '1, LICK', '8, SPITE', '13, MEAN_LOOK', '16, CURSE', '21, NIGHT_SHADE', '28, CONFUSE_RAY', '33, DREAM_EATER', '36, DESTINY_BOND']"
Haunter,"['1, HYPNOSIS', '1, LICK', '1, SPITE', '8, SPITE', '13, MEAN_LOOK', '16, CURSE', '21, NIGHT_SHADE', '31, CONFUSE_RAY', '39, DREAM_EATER', '48, DESTINY_BOND']"
Gengar,"['1, HYPNOSIS', '1, LICK', '1, SPITE', '8, SPITE', '13, MEAN_LOOK', '16, CURSE', '21, NIGHT_SHADE', '31, CONFUSE_RAY', '39, DREAM_EATER', '48, DESTINY_BOND']"
Onix,"['1, TACKLE', '1, SCREECH', '10, BIND', '14, ROCK_THROW', '23, HARDEN', '27, RAGE', '36, SANDSTORM', '40, SLAM']"
Drowzee,"['1, POUND', '1, HYPNOSIS', '10, DISABLE', '18, CONFUSION', '25, HEADBUTT', '31, POISON_GAS', '36, MEDITATE', '40, PSYCHIC_M', '43, PSYCH_UP', '45, FUTURE_SIGHT']"
Hypno,"['1, POUND', '1, HYPNOSIS', '1, DISABLE', '1, CONFUSION', '10, DISABLE', '18, CONFUSION', '25, HEADBUTT', '33, POISON_GAS', '40, MEDITATE', '49, PSYCHIC_M', '55, PSYCH_UP', '60, FUTURE_SIGHT']"
Krabby,"['1, BUBBLE', '5, LEER', '12, VICEGRIP', '16, HARDEN', '23, STOMP', '27, GUILLOTINE', '34, PROTECT', '41, CRABHAMMER']"
Kingler,"['1, BUBBLE', '1, LEER', '1, VICEGRIP', '5, LEER', '12, VICEGRIP', '16, HARDEN', '23, STOMP', '27, GUILLOTINE', '38, PROTECT', '49, CRABHAMMER']"
Voltorb,"['1, TACKLE', '9, SCREECH', '17, SONICBOOM', '23, SELFDESTRUCT', '29, ROLLOUT', '33, LIGHT_SCREEN', '37, SWIFT', '39, EXPLOSION', '41, MIRROR_COAT']"
Electrode,"['1, TACKLE', '1, SCREECH', '1, SONICBOOM', '1, SELFDESTRUCT', '9, SCREECH', '17, SONICBOOM', '23, SELFDESTRUCT', '29, ROLLOUT', '34, LIGHT_SCREEN', '40, SWIFT', '44, EXPLOSION', '48, MIRROR_COAT']"
Exeggcute,"['1, BARRAGE', '1, HYPNOSIS', '7, REFLECT', '13, LEECH_SEED', '19, CONFUSION', '25, STUN_SPORE', '31, POISONPOWDER', '37, SLEEP_POWDER', '43, SOLARBEAM']"
Exeggutor,"['1, BARRAGE', '1, HYPNOSIS', '1, CONFUSION', '19, STOMP', '31, EGG_BOMB']"
Cubone,"['1, GROWL', '5, TAIL_WHIP', '9, BONE_CLUB', '13, HEADBUTT', '17, LEER', '21, FOCUS_ENERGY', '25, BONEMERANG', '29, RAGE', '33, FALSE_SWIPE', '37, THRASH', '41, BONE_RUSH']"
Marowak,"['1, GROWL', '1, TAIL_WHIP', '1, BONE_CLUB', '1, HEADBUTT', '5, TAIL_WHIP', '9, BONE_CLUB', '13, HEADBUTT', '17, LEER', '21, FOCUS_ENERGY', '25, BONEMERANG', '32, RAGE', '39, FALSE_SWIPE', '46, THRASH', '53, BONE_RUSH']"
Hitmonlee,"['1, DOUBLE_KICK', '6, MEDITATE', '11, ROLLING_KICK', '16, JUMP_KICK', '21, FOCUS_ENERGY', '26, HI_JUMP_KICK', '31, MIND_READER', '36, FORESIGHT', '41, ENDURE', '46, MEGA_KICK', '51, REVERSAL']"
Hitmonchan,"['1, COMET_PUNCH', '7, AGILITY', '13, PURSUIT', '26, THUNDERPUNCH', '26, ICE_PUNCH', '26, FIRE_PUNCH', '32, MACH_PUNCH', '38, MEGA_PUNCH', '44, DETECT', '50, COUNTER']"
Lickitung,"['1, LICK', '7, SUPERSONIC', '13, DEFENSE_CURL', '19, STOMP', '25, WRAP', '31, DISABLE', '37, SLAM', '43, SCREECH']"
Koffing,"['1, POISON_GAS', '1, TACKLE', '9, SMOG', '17, SELFDESTRUCT', '21, SLUDGE', '25, SMOKESCREEN', '33, HAZE', '41, EXPLOSION', '45, DESTINY_BOND']"
Weezing,"['1, POISON_GAS', '1, TACKLE', '1, SMOG', '1, SELFDESTRUCT', '9, SMOG', '17, SELFDESTRUCT', '21, SLUDGE', '25, SMOKESCREEN', '33, HAZE', '44, EXPLOSION', '51, DESTINY_BOND']"
Rhyhorn,"['1, HORN_ATTACK', '1, TAIL_WHIP', '13, STOMP', '19, FURY_ATTACK', '31, SCARY_FACE', '37, HORN_DRILL', '49, TAKE_DOWN', '55, EARTHQUAKE']"
Rhydon,"['1, HORN_ATTACK', '1, TAIL_WHIP', '1, STOMP', '1, FURY_ATTACK', '13, STOMP', '19, FURY_ATTACK', '31, SCARY_FACE', '37, HORN_DRILL', '54, TAKE_DOWN', '65, EARTHQUAKE']"
Chansey,"['1, POUND', '5, GROWL', '9, TAIL_WHIP', '13, SOFTBOILED', '17, DOUBLESLAP', '23, MINIMIZE', '29, SING', '35, EGG_BOMB', '41, DEFENSE_CURL', '49, LIGHT_SCREEN', '57, DOUBLE_EDGE']"
Tangela,"['1, CONSTRICT', '4, SLEEP_POWDER', '10, ABSORB', '13, POISONPOWDER', '19, VINE_WHIP', '25, BIND', '31, MEGA_DRAIN', '34, STUN_SPORE', '40, SLAM', '46, GROWTH']"
Kangaskhan,"['1, COMET_PUNCH', '7, LEER', '13, BITE', '19, TAIL_WHIP', '25, MEGA_PUNCH', '31, RAGE', '37, ENDURE', '43, DIZZY_PUNCH', '49, REVERSAL']"
Horsea,"['1, BUBBLE', '8, SMOKESCREEN', '15, LEER', '22, WATER_GUN', '29, TWISTER', '36, AGILITY', '43, HYDRO_PUMP']"
Seadra,"['1, BUBBLE', '1, SMOKESCREEN', '1, LEER', '1, WATER_GUN', '8, SMOKESCREEN', '15, LEER', '22, WATER_GUN', '29, TWISTER', '40, AGILITY', '51, HYDRO_PUMP']"
Goldeen,"['1, PECK', '1, TAIL_WHIP', '10, SUPERSONIC', '15, HORN_ATTACK', '24, FLAIL', '29, FURY_ATTACK', '38, WATERFALL', '43, HORN_DRILL', '52, AGILITY']"
Seaking,"['1, PECK', '1, TAIL_WHIP', '1, TAIL_WHIP', '10, SUPERSONIC', '15, HORN_ATTACK', '24, FLAIL', '29, FURY_ATTACK', '41, WATERFALL', '49, HORN_DRILL', '61, AGILITY']"
Staryu,"['1, TACKLE', '1, HARDEN', '7, WATER_GUN', '13, RAPID_SPIN', '19, RECOVER', '25, SWIFT', '31, BUBBLEBEAM', '37, MINIMIZE', '43, LIGHT_SCREEN', '50, HYDRO_PUMP']"
Starmie,"['1, TACKLE', '1, RAPID_SPIN', '1, RECOVER', '1, BUBBLEBEAM', '37, CONFUSE_RAY']"
MrMime,"['1, BARRIER', '6, CONFUSION', '11, SUBSTITUTE', '16, MEDITATE', '21, DOUBLESLAP', '26, LIGHT_SCREEN', '26, REFLECT', '31, ENCORE', '36, PSYBEAM', '41, BATON_PASS', '46, SAFEGUARD']"
Scyther,"['1, QUICK_ATTACK', '1, LEER', '6, FOCUS_ENERGY', '12, PURSUIT', '18, FALSE_SWIPE', '24, AGILITY', '30, WING_ATTACK', '36, SLASH', '42, SWORDS_DANCE', '48, DOUBLE_TEAM']"
Jynx,"['1, POUND', '1, LICK', '1, LOVELY_KISS', '1, POWDER_SNOW', '9, LOVELY_KISS', '13, POWDER_SNOW', '21, DOUBLESLAP', '25, ICE_PUNCH', '35, MEAN_LOOK', '41, BODY_SLAM', '51, PERISH_SONG', '57, BLIZZARD']"
Electabuzz,"['1, QUICK_ATTACK', '1, LEER', '1, THUNDERPUNCH', '9, THUNDERPUNCH', '17, LIGHT_SCREEN', '25, SWIFT', '36, SCREECH', '47, THUNDERBOLT', '58, THUNDER']"
Magmar,"['1, EMBER', '1, LEER', '1, SMOG', '1, FIRE_PUNCH', '7, LEER', '13, SMOG', '19, FIRE_PUNCH', '25, SMOKESCREEN', '33, SUNNY_DAY', '41, FLAMETHROWER', '49, CONFUSE_RAY', '57, FIRE_BLAST']"
Pinsir,"['1, VICEGRIP', '7, FOCUS_ENERGY', '13, BIND', '19, SEISMIC_TOSS', '25, HARDEN', '31, GUILLOTINE', '37, SUBMISSION', '43, SWORDS_DANCE']"
Tauros,"['1, TACKLE', '4, TAIL_WHIP', '8, RAGE', '13, HORN_ATTACK', '19, SCARY_FACE', '26, PURSUIT', '34, REST', '43, THRASH', '53, TAKE_DOWN']"
Magikarp,"['1, SPLASH', '15, TACKLE', '30, FLAIL']"
Gyarados,"['1, THRASH', '20, BITE', '25, DRAGON_RAGE', '30, LEER', '35, TWISTER', '40, HYDRO_PUMP', '45, RAIN_DANCE', '50, HYPER_BEAM']"
